# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
1.044e+01	3.000e-01	-2.185e+00	2.000e-01
1.049e+01	3.000e-01	-2.293e+00	2.000e-01
1.067e+01	3.000e-01	-2.323e+00	2.000e-01
1.126e+01	3.000e-01	-2.648e+00	2.000e-01
1.133e+01	3.000e-01	-2.747e+00	2.000e-01
1.107e+01	3.000e-01	-2.127e+00	2.000e-01
1.119e+01	3.000e-01	-2.696e+00	2.000e-01
1.025e+01	3.000e-01	-1.854e+00	2.000e-01
1.132e+01	3.000e-01	-2.568e+00	2.000e-01
1.065e+01	3.000e-01	-2.347e+00	2.000e-01
1.046e+01	3.000e-01	-2.616e+00	2.000e-01
9.021e+00	3.000e-01	-1.918e+00	2.000e-01
1.093e+01	3.000e-01	-3.037e+00	2.000e-01
1.031e+01	3.000e-01	-1.623e+00	2.000e-01
9.328e+00	3.000e-01	-2.199e+00	2.000e-01
1.115e+01	3.000e-01	-2.765e+00	2.000e-01
1.136e+01	3.000e-01	-2.351e+00	2.000e-01
1.052e+01	3.000e-01	-2.531e+00	2.000e-01
1.057e+01	3.000e-01	-2.434e+00	2.000e-01
1.038e+01	3.000e-01	-2.550e+00	2.000e-01
9.663e+00	3.000e-01	-1.991e+00	2.000e-01
1.024e+01	3.000e-01	-1.911e+00	2.000e-01
